pPseAAC_1	pPseAAC_10	pPseAAC_11	pPseAAC_12	pPseAAC_13	pPseAAC_14	pPseAAC_15	pPseAAC_16	pPseAAC_17	pPseAAC_18	pPseAAC_19	pPseAAC_2	pPseAAC_20	pPseAAC_3	pPseAAC_4	pPseAAC_5	pPseAAC_6	pPseAAC_7	pPseAAC_8	pPseAAC_9	prot_ID
0.0496	0.0491	0.0493	0.0486	0.0493	0.0504	0.0508	0.0497	0.0499	0.0497	0.0502	0.0499	0.0487	0.0498	0.0516	0.052	0.0517	0.0498	0.049	0.0509	seq_39844_20
0.0526	0.05	0.0492	0.05	0.0486	0.0492	0.0487	0.0502	0.05	0.0492	0.0494	0.0479	0.0501	0.0515	0.0509	0.0502	0.0516	0.05	0.0501	0.0506	seq_39844_21
0.0503	0.0476	0.0509	0.0514	0.0504	0.0499	0.0485	0.0475	0.0496	0.0497	0.0493	0.0559	0.0492	0.0537	0.0505	0.0484	0.0482	0.0504	0.0499	0.0486	seq_39844_22
0.0507	0.0498	0.0493	0.049	0.0501	0.0489	0.0502	0.0495	0.0507	0.0499	0.05	0.05	0.0497	0.0515	0.0512	0.0495	0.0523	0.0479	0.0501	0.0498	seq_39844_23
0.0509	0.0495	0.0497	0.0497	0.0494	0.0486	0.0494	0.0496	0.0498	0.0503	0.0498	0.0499	0.0499	0.0511	0.0517	0.0503	0.0505	0.0502	0.0494	0.05	seq_39844_24
0.0506	0.0485	0.0515	0.0497	0.0528	0.0535	0.0502	0.051	0.0493	0.042	0.0487	0.052	0.0512	0.0493	0.0545	0.0541	0.0492	0.0528	0.0483	0.041	seq_39844_26
0.0517	0.0498	0.0501	0.05	0.05	0.05	0.0502	0.0495	0.0495	0.0501	0.0501	0.0489	0.0502	0.0517	0.0503	0.0504	0.0494	0.0503	0.0487	0.0493	seq_39844_25
0.0517	0.0494	0.0497	0.0503	0.0488	0.0491	0.0484	0.05	0.0498	0.0504	0.0504	0.0504	0.0501	0.0511	0.0506	0.0504	0.0504	0.0492	0.0497	0.05	seq_39844_27
0.0531	0.0488	0.0536	0.0515	0.0519	0.05	0.0474	0.0487	0.0467	0.0475	0.0502	0.0465	0.0494	0.0509	0.0527	0.0498	0.0532	0.0493	0.049	0.0497	seq_39844_28
0.0542	0.049	0.0503	0.0496	0.0513	0.0481	0.0494	0.0464	0.0512	0.0473	0.0487	0.0472	0.0495	0.0533	0.0481	0.0533	0.0521	0.0508	0.0507	0.0493	seq_39844_29
0.0517	0.0514	0.0486	0.05	0.0481	0.0479	0.0486	0.0493	0.0507	0.0501	0.0512	0.0475	0.0497	0.0508	0.0493	0.0497	0.0517	0.0514	0.0515	0.0505	seq_39844_32
0.0513	0.0502	0.0516	0.05	0.05	0.0503	0.0497	0.0471	0.0493	0.0487	0.0489	0.0485	0.0497	0.0518	0.0505	0.0523	0.0504	0.0501	0.0492	0.0504	seq_39844_31
0.0518	0.0496	0.0501	0.0495	0.0495	0.0495	0.0495	0.0491	0.0499	0.0495	0.0491	0.0495	0.0494	0.0517	0.0512	0.0503	0.0507	0.0499	0.0501	0.0503	seq_39844_30
0.0515	0.0497	0.0498	0.0495	0.0507	0.0501	0.0503	0.0493	0.0496	0.0469	0.0512	0.05	0.0488	0.051	0.0516	0.0515	0.0498	0.0515	0.0496	0.0474	seq_39844_34
0.0516	0.0493	0.0502	0.0498	0.0504	0.0495	0.0498	0.0489	0.0506	0.0499	0.0496	0.0511	0.0504	0.05	0.0498	0.0499	0.0508	0.0489	0.0492	0.0505	seq_39844_33
0.0518	0.0502	0.0495	0.0496	0.0501	0.0499	0.0492	0.0492	0.0504	0.0496	0.0501	0.0494	0.049	0.0511	0.0511	0.0507	0.0499	0.0504	0.0496	0.0492	seq_39844_35
0.0518	0.0493	0.0502	0.0494	0.0509	0.0481	0.0509	0.0499	0.0499	0.0497	0.0496	0.0509	0.0504	0.0493	0.0495	0.051	0.0508	0.0484	0.0507	0.0493	seq_39844_36
0.0515	0.0504	0.0493	0.0499	0.0492	0.049	0.0494	0.0497	0.0489	0.0501	0.0509	0.0505	0.0501	0.0503	0.0515	0.0506	0.0497	0.0496	0.0496	0.0497	seq_39844_37
0.0533	0.051	0.0494	0.0502	0.0488	0.0506	0.0493	0.0487	0.0506	0.049	0.0493	0.049	0.0502	0.0502	0.0519	0.0489	0.0506	0.0504	0.0485	0.05	seq_39844_38
0.0515	0.0489	0.0508	0.0492	0.0506	0.0502	0.0501	0.0493	0.0501	0.0495	0.0501	0.0489	0.0496	0.0509	0.0502	0.0511	0.0495	0.0505	0.0489	0.0502	seq_39844_39
0.0515	0.0495	0.0496	0.0503	0.0492	0.0491	0.0494	0.0495	0.0501	0.0497	0.0503	0.0503	0.0505	0.0507	0.051	0.0505	0.0504	0.049	0.0495	0.0498	seq_39844_40
0.0517	0.0495	0.0498	0.0503	0.0499	0.0501	0.0499	0.0503	0.0498	0.0495	0.0505	0.0529	0.0499	0.0477	0.0491	0.0505	0.0509	0.048	0.049	0.0509	seq_39844_41
0.0525	0.0497	0.0502	0.0505	0.0489	0.0492	0.0491	0.0496	0.0498	0.0494	0.0501	0.05	0.0501	0.0511	0.0501	0.0507	0.0498	0.0494	0.0499	0.0498	seq_39844_43
0.0496	0.0496	0.0488	0.052	0.0507	0.0503	0.0487	0.0503	0.0509	0.05	0.0498	0.0473	0.0513	0.05	0.0504	0.0504	0.0497	0.0513	0.0493	0.0497	seq_39844_42
0.0525	0.0496	0.0495	0.0489	0.0502	0.0502	0.0505	0.05	0.0509	0.0494	0.0504	0.0491	0.0488	0.0514	0.0495	0.0508	0.0501	0.0487	0.0494	0.0501	seq_39844_44
0.0528	0.0493	0.0497	0.0495	0.0492	0.0497	0.0491	0.0495	0.0489	0.0485	0.0496	0.048	0.0501	0.0526	0.0507	0.0508	0.0522	0.0502	0.0504	0.0494	seq_39844_45
0.0502	0.0512	0.0501	0.0496	0.0485	0.0474	0.0481	0.0478	0.0494	0.0495	0.05	0.0484	0.0508	0.0514	0.0525	0.0508	0.0522	0.0513	0.0503	0.0502	seq_39844_46
0.0506	0.0494	0.0496	0.05	0.0506	0.0504	0.0498	0.0492	0.0508	0.0503	0.0496	0.0504	0.0504	0.0497	0.0494	0.0502	0.0512	0.0489	0.0494	0.0502	seq_39844_47
0.0508	0.0512	0.0511	0.0492	0.0482	0.0497	0.0489	0.0502	0.0506	0.0483	0.0492	0.0475	0.0458	0.0513	0.0524	0.0517	0.0531	0.0501	0.051	0.0499	seq_39844_50
0.0524	0.0509	0.051	0.0486	0.0504	0.0501	0.0486	0.0507	0.0493	0.0485	0.0509	0.0513	0.0497	0.0466	0.0521	0.0509	0.0478	0.0503	0.0511	0.0486	seq_39844_52
0.0514	0.0493	0.0508	0.0508	0.0493	0.0498	0.0498	0.0506	0.0493	0.0487	0.0493	0.048	0.0506	0.0524	0.0515	0.0507	0.0497	0.0503	0.0488	0.049	seq_39844_48
0.0513	0.0494	0.0476	0.0529	0.0501	0.0507	0.0501	0.0496	0.0486	0.0486	0.0482	0.0501	0.0513	0.051	0.0505	0.0494	0.0514	0.0491	0.0495	0.0506	seq_39844_49
0.051	0.0493	0.0496	0.0497	0.0504	0.0503	0.049	0.0496	0.0513	0.0493	0.0496	0.0503	0.0501	0.0501	0.0498	0.0504	0.051	0.0492	0.0495	0.0505	seq_39844_51
0.0479	0.0495	0.0499	0.0493	0.0494	0.0503	0.0507	0.0494	0.0505	0.0499	0.0499	0.0508	0.0503	0.0494	0.0515	0.0519	0.051	0.0503	0.0495	0.0485	seq_39844_53
0.0503	0.0502	0.0496	0.049	0.0499	0.0503	0.0485	0.0494	0.0507	0.0499	0.05	0.0505	0.05	0.0502	0.05	0.0515	0.0511	0.0486	0.0505	0.0499	seq_39844_54
0.0516	0.0499	0.0506	0.0506	0.0498	0.0495	0.0501	0.0499	0.0501	0.0496	0.0498	0.048	0.0506	0.0509	0.0504	0.0509	0.0489	0.0499	0.0489	0.0501	seq_39844_56
0.0506	0.0495	0.0508	0.0511	0.0506	0.0498	0.0503	0.0496	0.0494	0.0499	0.0496	0.0483	0.0502	0.0511	0.0495	0.0511	0.0496	0.05	0.0492	0.0499	seq_39844_55
0.0517	0.0496	0.0494	0.0494	0.0488	0.0495	0.049	0.0501	0.0498	0.0497	0.0503	0.0504	0.0505	0.0506	0.0511	0.0504	0.0505	0.0487	0.0499	0.0505	seq_39844_57
0.0514	0.0498	0.0496	0.0504	0.0496	0.0487	0.0491	0.0496	0.0493	0.0505	0.0503	0.0499	0.0505	0.0506	0.051	0.0505	0.0503	0.0489	0.0497	0.0501	seq_39844_58
0.0518	0.0493	0.0493	0.0492	0.0488	0.0496	0.0494	0.0501	0.0496	0.0502	0.0499	0.0505	0.0502	0.0509	0.0511	0.0506	0.0506	0.049	0.0498	0.0501	seq_39844_61
0.0512	0.0494	0.0492	0.0492	0.049	0.0495	0.0498	0.0503	0.0503	0.05	0.0505	0.0495	0.0493	0.0502	0.0511	0.0507	0.0505	0.0507	0.0508	0.0488	seq_39844_62
0.0517	0.0494	0.0492	0.0492	0.049	0.0495	0.0493	0.0499	0.0499	0.0501	0.05	0.0504	0.0501	0.051	0.0512	0.0506	0.0504	0.0491	0.0499	0.0501	seq_39844_60
0.0528	0.0495	0.0497	0.0485	0.049	0.0496	0.0505	0.0484	0.0506	0.049	0.0496	0.0494	0.0502	0.0515	0.0527	0.0501	0.0507	0.0489	0.0502	0.0491	seq_39844_59
0.0519	0.0496	0.0492	0.0485	0.0495	0.0498	0.0497	0.0493	0.0493	0.0503	0.0496	0.0498	0.0491	0.0522	0.0508	0.0509	0.05	0.0509	0.0495	0.0502	seq_39844_63
0.0517	0.0497	0.0497	0.0503	0.0493	0.0486	0.049	0.0493	0.0494	0.0499	0.0506	0.0506	0.0504	0.0507	0.0509	0.0507	0.0503	0.0496	0.0494	0.05	seq_39844_64
0.0518	0.049	0.0497	0.0489	0.0497	0.0499	0.0493	0.0492	0.0495	0.05	0.0494	0.05	0.0491	0.052	0.0509	0.0504	0.0504	0.0514	0.0495	0.0499	seq_39844_65
0.0522	0.0494	0.0501	0.0505	0.0484	0.0497	0.0489	0.0497	0.0495	0.0501	0.0503	0.0503	0.0494	0.0512	0.0508	0.051	0.0496	0.0492	0.05	0.0497	seq_39844_66
0.0513	0.0495	0.0503	0.0502	0.0502	0.0498	0.0495	0.0497	0.0492	0.0492	0.0508	0.0504	0.05	0.0508	0.0503	0.0499	0.0507	0.05	0.0492	0.0489	seq_39844_68
0.0511	0.0501	0.0494	0.0493	0.0497	0.05	0.05	0.0497	0.0498	0.0499	0.0496	0.0504	0.0497	0.05	0.0512	0.0496	0.0503	0.0497	0.0498	0.0507	seq_39844_67
0.0507	0.0496	0.0498	0.0498	0.0494	0.0499	0.0494	0.0504	0.0491	0.0505	0.0497	0.0503	0.0498	0.0505	0.0509	0.0508	0.0508	0.0496	0.0492	0.0498	seq_39844_69
0.052	0.0496	0.05	0.0503	0.0491	0.0498	0.049	0.0501	0.0498	0.0501	0.05	0.0503	0.0496	0.0509	0.0512	0.0504	0.0498	0.049	0.0499	0.0493	seq_39844_72
0.0498	0.0504	0.05	0.0493	0.0496	0.0502	0.0493	0.0502	0.0502	0.05	0.0499	0.0492	0.0499	0.0494	0.0504	0.0502	0.0496	0.0509	0.0511	0.0504	seq_39844_71
0.052	0.0497	0.0501	0.0503	0.0491	0.0495	0.049	0.0501	0.0498	0.05	0.0499	0.0498	0.0499	0.0508	0.051	0.0507	0.05	0.0491	0.05	0.0493	seq_39844_73
0.0522	0.0498	0.0504	0.0508	0.0485	0.0495	0.0491	0.0499	0.0496	0.05	0.0504	0.05	0.0497	0.0509	0.0506	0.0505	0.0504	0.0487	0.0492	0.0499	seq_39844_70
0.0516	0.0493	0.0501	0.0499	0.0513	0.0491	0.0491	0.0486	0.0503	0.0494	0.0501	0.0478	0.0496	0.0522	0.0493	0.0515	0.0515	0.0504	0.0499	0.0492	seq_39844_74
0.0533	0.0493	0.047	0.0504	0.0481	0.0501	0.0499	0.0461	0.0522	0.055	0.0445	0.0497	0.0475	0.0523	0.0534	0.0482	0.0522	0.0512	0.0475	0.052	seq_39844_75
0.0515	0.0496	0.0498	0.0498	0.0503	0.0491	0.0491	0.0502	0.0493	0.0496	0.0494	0.0495	0.0498	0.0508	0.0518	0.0494	0.0502	0.0505	0.05	0.0504	seq_39844_76
0.0508	0.0488	0.0489	0.0497	0.0499	0.0499	0.0504	0.0502	0.0498	0.0485	0.0499	0.0497	0.0492	0.0517	0.0512	0.0522	0.0508	0.0507	0.0494	0.0484	seq_39844_77
0.05	0.0498	0.0499	0.05	0.0501	0.0499	0.0499	0.0497	0.0497	0.0501	0.0497	0.0508	0.0496	0.0507	0.0495	0.0506	0.0502	0.0489	0.0504	0.0506	seq_39844_78
0.052	0.0498	0.0501	0.0505	0.0493	0.0495	0.0489	0.0501	0.0499	0.05	0.0499	0.0502	0.0498	0.0506	0.0508	0.0509	0.0498	0.049	0.0498	0.0492	seq_39844_79
0.0527	0.0497	0.05	0.0506	0.0487	0.0493	0.0491	0.0495	0.0497	0.0498	0.0501	0.0505	0.0495	0.051	0.0503	0.0509	0.0496	0.0492	0.0499	0.0499	seq_39844_80
0.0514	0.051	0.0491	0.0508	0.0478	0.0514	0.0494	0.0486	0.0482	0.0497	0.0499	0.0498	0.0495	0.0509	0.0505	0.0496	0.0495	0.0502	0.0512	0.0514	seq_39844_81
0.0508	0.0493	0.0506	0.0506	0.051	0.0507	0.05	0.0502	0.0507	0.0495	0.0497	0.0478	0.0505	0.0511	0.05	0.0509	0.0491	0.0506	0.0486	0.0484	seq_39844_83
0.0524	0.0498	0.0504	0.0502	0.0485	0.0497	0.049	0.0498	0.0499	0.0496	0.0501	0.0501	0.0498	0.0511	0.0507	0.0504	0.0499	0.0491	0.05	0.0497	seq_39844_82
0.0511	0.0491	0.0493	0.0496	0.0498	0.0498	0.0498	0.0498	0.0499	0.0495	0.0503	0.0483	0.0497	0.0501	0.0515	0.0497	0.0515	0.0506	0.0508	0.05	seq_39844_84
0.0527	0.0503	0.049	0.0503	0.0495	0.0495	0.0506	0.051	0.0495	0.0508	0.0494	0.0487	0.0493	0.0493	0.0503	0.0509	0.0505	0.0496	0.0495	0.049	seq_39844_86
0.0502	0.0492	0.0501	0.0496	0.0488	0.0482	0.0491	0.048	0.0496	0.0502	0.0507	0.0474	0.052	0.0533	0.052	0.052	0.0509	0.0501	0.0487	0.0499	seq_39844_87
0.0499	0.05	0.0497	0.0499	0.0502	0.0493	0.0488	0.0496	0.0499	0.05	0.0506	0.0521	0.0494	0.0494	0.0508	0.0503	0.0493	0.05	0.0508	0.0501	seq_39844_85
0.0511	0.0503	0.05	0.0498	0.0491	0.049	0.0496	0.0494	0.049	0.0505	0.0505	0.0504	0.0499	0.0504	0.0518	0.0506	0.0496	0.0496	0.0494	0.05	seq_39844_88
0.0515	0.05	0.0497	0.0496	0.0488	0.0494	0.05	0.0501	0.049	0.0504	0.05	0.0502	0.05	0.0503	0.0502	0.0509	0.0496	0.0499	0.0498	0.0504	seq_39844_90
0.0492	0.0521	0.0512	0.049	0.047	0.0494	0.0502	0.0504	0.0493	0.0487	0.0495	0.0515	0.0494	0.0548	0.0527	0.0485	0.0478	0.0475	0.0502	0.0518	seq_39844_92
0.051	0.0497	0.0507	0.049	0.0515	0.0487	0.0489	0.0496	0.051	0.0497	0.0499	0.0511	0.0509	0.0506	0.0493	0.0499	0.0495	0.0501	0.0491	0.0498	seq_39844_93
0.0521	0.0493	0.0499	0.0505	0.0488	0.0497	0.0483	0.0501	0.05	0.0502	0.0503	0.0504	0.0496	0.051	0.051	0.0503	0.0499	0.049	0.0495	0.0501	seq_39844_89
0.0508	0.0491	0.0514	0.0491	0.0524	0.0513	0.0494	0.051	0.0502	0.0441	0.0497	0.0528	0.0508	0.0489	0.054	0.0533	0.0495	0.0519	0.0487	0.0416	seq_39844_94
0.0556	0.0503	0.0486	0.0495	0.0495	0.0488	0.0518	0.0463	0.0515	0.0472	0.0485	0.0451	0.0494	0.0541	0.0499	0.0526	0.052	0.0504	0.0503	0.0485	seq_39844_91
0.0554	0.0471	0.0489	0.0476	0.0474	0.0521	0.0483	0.0458	0.0523	0.0525	0.0472	0.0501	0.0486	0.049	0.0542	0.0489	0.0532	0.0513	0.0462	0.0538	seq_39844_95
0.0519	0.0488	0.0496	0.0495	0.0499	0.0495	0.0496	0.0497	0.0497	0.0499	0.0495	0.049	0.0497	0.0514	0.0515	0.0505	0.0511	0.0499	0.0502	0.0493	seq_39844_96
0.051	0.0496	0.0505	0.0491	0.0495	0.0497	0.0502	0.0493	0.051	0.0495	0.0492	0.0502	0.0494	0.0508	0.0499	0.0506	0.0496	0.0491	0.0509	0.0508	seq_39844_97
0.0515	0.0506	0.0491	0.0498	0.0485	0.0495	0.0499	0.0495	0.0505	0.0492	0.0493	0.0478	0.0506	0.0505	0.0509	0.0506	0.05	0.051	0.0502	0.0507	seq_39844_98
0.0533	0.0498	0.0512	0.0496	0.0496	0.0492	0.0489	0.0489	0.0492	0.0486	0.0496	0.0469	0.0501	0.0517	0.0514	0.0504	0.0515	0.0508	0.0492	0.0503	seq_39844_101
0.051	0.0504	0.0498	0.05	0.0498	0.0496	0.0498	0.0498	0.0497	0.0498	0.0501	0.0502	0.0498	0.0506	0.0503	0.0491	0.0504	0.0497	0.0496	0.0505	seq_39844_103
0.0517	0.0498	0.0497	0.0499	0.0494	0.0489	0.0491	0.0494	0.049	0.0501	0.0506	0.0502	0.0502	0.0504	0.0516	0.0507	0.05	0.0495	0.0492	0.0504	seq_39844_99
0.0512	0.0492	0.0496	0.0491	0.0506	0.0499	0.0497	0.0503	0.0488	0.0496	0.0501	0.0498	0.0498	0.0508	0.0508	0.0508	0.0501	0.0503	0.0499	0.0495	seq_39844_100
0.0507	0.0496	0.05	0.0494	0.0498	0.0495	0.0502	0.0497	0.05	0.0498	0.0499	0.0519	0.0495	0.0502	0.0494	0.0503	0.0505	0.0499	0.0499	0.0499	seq_39844_104
0.0504	0.0498	0.0492	0.0493	0.0501	0.0492	0.0493	0.0505	0.0499	0.0497	0.0505	0.0529	0.05	0.0498	0.0491	0.0507	0.0514	0.0497	0.0487	0.0496	seq_39844_102
0.0503	0.0484	0.0512	0.049	0.0549	0.0528	0.0499	0.052	0.0487	0.0411	0.0488	0.0542	0.0511	0.049	0.056	0.0543	0.0496	0.0532	0.0482	0.0373	seq_39844_105
0.0501	0.0489	0.0498	0.049	0.0491	0.0493	0.0495	0.0507	0.0497	0.0504	0.0498	0.0488	0.0497	0.0516	0.051	0.0508	0.0509	0.0507	0.0509	0.0495	seq_39844_107
0.051	0.05	0.0501	0.0496	0.0499	0.0493	0.0488	0.0502	0.0498	0.0497	0.0497	0.0498	0.0495	0.051	0.051	0.051	0.0501	0.0511	0.0493	0.0492	seq_39844_106
0.0509	0.0502	0.0494	0.0499	0.0504	0.0492	0.0495	0.051	0.0499	0.0495	0.0496	0.0525	0.0502	0.0491	0.0487	0.0506	0.0507	0.0487	0.0498	0.0503	seq_39844_108
0.0523	0.0501	0.0499	0.0491	0.0494	0.049	0.0499	0.0486	0.0508	0.0493	0.0494	0.0496	0.0482	0.0516	0.0498	0.0514	0.0503	0.0505	0.0501	0.0507	seq_39844_109
0.0515	0.0493	0.0506	0.0501	0.051	0.05	0.0495	0.0503	0.0497	0.05	0.0501	0.0478	0.0499	0.0518	0.0484	0.0505	0.0493	0.0509	0.049	0.0503	seq_39844_111
0.0522	0.0507	0.0496	0.0502	0.0497	0.0502	0.0486	0.0498	0.0489	0.0492	0.0502	0.0509	0.0494	0.0505	0.0503	0.0496	0.0506	0.0495	0.0504	0.0495	seq_39844_113
0.0496	0.0493	0.0489	0.0518	0.0513	0.051	0.0492	0.0501	0.051	0.05	0.0499	0.0471	0.0505	0.0495	0.0503	0.051	0.0496	0.0506	0.0493	0.0498	seq_39844_110
0.0517	0.0497	0.0502	0.0499	0.0484	0.0499	0.0492	0.0499	0.049	0.0508	0.0506	0.0501	0.0492	0.0516	0.0507	0.0507	0.0501	0.0492	0.0498	0.0494	seq_39844_112
0.0515	0.0502	0.05	0.0505	0.0484	0.0492	0.049	0.0493	0.0498	0.0499	0.0505	0.051	0.0502	0.0507	0.051	0.0502	0.0497	0.0495	0.0498	0.0497	seq_39844_114
0.0521	0.0488	0.0499	0.0496	0.0508	0.0499	0.0489	0.0495	0.0494	0.0482	0.0504	0.0503	0.0492	0.0514	0.0522	0.0515	0.0491	0.0509	0.0495	0.0484	seq_39844_115
0.0498	0.0512	0.0509	0.0514	0.0483	0.0476	0.0508	0.0495	0.0499	0.0484	0.0513	0.049	0.0489	0.051	0.0522	0.0496	0.0501	0.0494	0.0496	0.0514	seq_39844_116
0.0521	0.0499	0.0499	0.0506	0.0503	0.0495	0.0493	0.0492	0.0486	0.0496	0.0492	0.0483	0.0495	0.0522	0.0512	0.0513	0.0503	0.0502	0.0488	0.0501	seq_39844_117
0.0524	0.0496	0.0503	0.0507	0.0488	0.0496	0.0497	0.0492	0.0498	0.05	0.0497	0.0501	0.0495	0.0503	0.0503	0.0509	0.0503	0.049	0.0502	0.0497	seq_39844_119
0.0525	0.0499	0.0501	0.0505	0.0488	0.0497	0.0495	0.0492	0.0499	0.0498	0.0499	0.0501	0.0495	0.0503	0.0504	0.0509	0.0502	0.0489	0.05	0.0498	seq_39844_118
0.0514	0.0496	0.0496	0.0502	0.0492	0.0486	0.0483	0.0498	0.0496	0.0506	0.0508	0.0505	0.0506	0.0507	0.051	0.0504	0.0499	0.0494	0.0497	0.0501	seq_39844_121
0.0513	0.0498	0.0496	0.0501	0.0492	0.0485	0.0482	0.0499	0.0496	0.0505	0.0509	0.0505	0.0505	0.0509	0.0511	0.0504	0.0499	0.0496	0.0496	0.05	seq_39844_120
0.0538	0.05	0.05	0.0485	0.0498	0.0484	0.0498	0.0506	0.0511	0.0502	0.0494	0.0481	0.0475	0.0539	0.0509	0.0513	0.0477	0.0504	0.048	0.0506	seq_39844_124
0.0509	0.0509	0.0498	0.0503	0.0491	0.0503	0.0501	0.0497	0.0495	0.0501	0.049	0.0502	0.05	0.0504	0.0506	0.0506	0.0498	0.049	0.05	0.0498	seq_39844_122
0.0499	0.0492	0.0499	0.0497	0.0503	0.0496	0.0504	0.0502	0.05	0.049	0.0506	0.0507	0.0501	0.0498	0.0493	0.0508	0.0513	0.0501	0.0497	0.0496	seq_39844_123
0.0529	0.0489	0.0498	0.0486	0.0498	0.0489	0.0494	0.0495	0.0491	0.0492	0.0495	0.0492	0.0499	0.0514	0.0517	0.0501	0.0506	0.0502	0.0506	0.0506	seq_39844_125
0.0492	0.0485	0.0519	0.0515	0.0522	0.0498	0.0496	0.0474	0.0474	0.0467	0.0495	0.0478	0.0504	0.0518	0.0518	0.0524	0.0534	0.0522	0.0475	0.049	seq_39844_126
0.051	0.0502	0.0505	0.0496	0.0504	0.0496	0.0491	0.0495	0.0491	0.0493	0.0497	0.0495	0.0504	0.05	0.0505	0.0508	0.0501	0.0502	0.0505	0.0501	seq_39844_128
