atp_cost	c_content	length	n_content	prot_ID	s_content
20.29	4.433	9556	1.235	seq_13579_36	0.061
22.187	4.736	9466	1.276	seq_13579_37	0.014
20.641	4.564	9449	1.198	seq_13579_38	0.005
23.573	4.996	9301	1.289	seq_13579_39	0.016
17.723	3.846	9144	1.157	seq_13579_42	0.007
22.319	4.743	9152	1.265	seq_13579_40	0.018
22.808	4.863	9150	1.43	seq_13579_41	0.022
22.14	4.703	9131	1.257	seq_13579_43	0.015
21.489	4.699	9105	1.216	seq_13579_44	0.005
20.159	4.486	9100	1.169	seq_13579_45	0.005
21.428	4.754	8998	1.132	seq_13579_46	0.011
22.042	4.756	8948	1.336	seq_13579_47	0.022
19.915	4.405	8942	1.209	seq_13579_48	0.008
19.269	4.388	8918	1.144	seq_13579_49	0.005
20.17	4.324	8871	1.192	seq_13579_50	0.026
22.026	4.755	8863	1.335	seq_13579_51	0.021
23.596	4.868	8862	1.315	seq_13579_52	0.021
22.291	4.799	8646	1.377	seq_13579_54	0.021
23.699	4.981	8729	1.323	seq_13579_53	0.025
20.25	4.421	8645	1.224	seq_13579_55	0.012
20.901	4.567	8600	1.268	seq_13579_56	0.008
22.435	4.769	8597	1.279	seq_13579_57	0.018
22.405	4.784	8573	1.273	seq_13579_58	0.016
20.381	4.414	8572	1.212	seq_13579_59	0.013
22.487	4.778	8566	1.274	seq_13579_60	0.016
22.512	4.786	8566	1.277	seq_13579_61	0.016
24.163	5.026	8559	1.285	seq_13579_62	0.015
22.544	4.807	8539	1.275	seq_13579_63	0.019
22.162	4.714	8485	1.27	seq_13579_64	0.018
22.578	4.792	8467	1.272	seq_13579_65	0.019
22.358	4.755	8397	1.258	seq_13579_66	0.016
24.709	5.123	8393	1.331	seq_13579_67	0.016
22.305	4.641	8387	1.277	seq_13579_68	0.078
23.484	4.831	8376	1.3	seq_13579_69	0.076
22.101	4.713	8259	1.245	seq_13579_70	0.012
23.386	4.906	8232	1.293	seq_13579_71	0.011
22.11	4.715	8217	1.246	seq_13579_72	0.012
22.068	4.706	8214	1.247	seq_13579_73	0.011
19.709	4.379	8173	1.123	seq_13579_74	0.007
18.407	4.178	8129	1.128	seq_13579_75	0.0
21.625	4.751	8107	1.263	seq_13579_76	0.011
21.724	4.702	8056	1.363	seq_13579_78	0.021
20.63	4.556	8087	1.198	seq_13579_77	0.004
22.107	4.711	8046	1.244	seq_13579_79	0.011
20.071	4.427	7986	1.187	seq_13579_81	0.005
22.163	4.726	7974	1.254	seq_13579_82	0.01
22.236	4.75	8034	1.265	seq_13579_80	0.013
19.615	4.327	7971	1.193	seq_13579_83	0.007
21.326	4.711	7884	1.205	seq_13579_87	0.003
22.128	4.754	7860	1.267	seq_13579_88	0.012
21.703	4.7	7969	1.278	seq_13579_84	0.008
20.537	4.535	7892	1.185	seq_13579_86	0.019
23.295	4.913	7928	1.316	seq_13579_85	0.053
22.095	4.701	7858	1.247	seq_13579_89	0.013
21.355	4.672	7849	1.197	seq_13579_90	0.008
19.616	4.428	7833	1.183	seq_13579_91	0.005
21.703	4.613	7799	1.256	seq_13579_92	0.013
22.01	4.789	7785	1.367	seq_13579_93	0.015
22.491	4.855	7712	1.385	seq_13579_97	0.02
18.32	4.123	7750	1.147	seq_13579_95	0.001
19.514	4.346	7752	1.158	seq_13579_94	0.003
21.405	4.625	7691	1.246	seq_13579_98	0.017
20.37	4.44	7716	1.2	seq_13579_96	0.008
22.906	4.763	7666	1.324	seq_13579_100	0.073
20.627	4.604	7629	1.176	seq_13579_101	0.007
22.231	4.751	7667	1.267	seq_13579_99	0.014
23.463	5.02	7627	1.362	seq_13579_102	0.022
17.711	4.013	7554	1.124	seq_13579_105	0.006
21.935	4.645	7598	1.283	seq_13579_103	0.046
20.824	4.615	7538	1.256	seq_13579_106	0.007
23.026	4.837	7597	1.373	seq_13579_104	0.052
21.684	4.556	7531	1.285	seq_13579_107	0.015
17.886	3.88	7446	1.182	seq_13579_110	0.008
22.395	4.795	7498	1.424	seq_13579_108	0.024
19.886	4.403	7434	1.239	seq_13579_111	0.008
21.793	4.73	7453	1.231	seq_13579_109	0.01
22.624	4.824	7350	1.27	seq_13579_114	0.012
21.969	4.716	7398	1.239	seq_13579_112	0.007
22.801	4.859	7355	1.312	seq_13579_113	0.015
21.143	4.632	7333	1.219	seq_13579_115	0.01
19.702	4.378	7317	1.153	seq_13579_116	0.006
21.153	4.635	7315	1.182	seq_13579_117	0.02
22.089	4.723	7312	1.252	seq_13579_118	0.01
22.066	4.716	7312	1.252	seq_13579_119	0.01
22.566	4.814	7283	1.275	seq_13579_120	0.015
23.178	4.81	7280	1.287	seq_13579_122	0.074
22.56	4.821	7282	1.274	seq_13579_121	0.015
21.248	4.574	7279	1.327	seq_13579_123	0.019
19.075	4.239	7238	1.156	seq_13579_124	0.007
19.987	4.433	7233	1.147	seq_13579_126	0.007
20.812	4.548	7237	1.226	seq_13579_125	0.007
20.8	4.51	7228	1.211	seq_13579_127	0.014
20.997	4.636	7223	1.246	seq_13579_128	0.01
21.157	4.589	7210	1.318	seq_13579_129	0.017
21.995	4.718	7208	1.24	seq_13579_130	0.007
21.29	4.633	7205	1.206	seq_13579_131	0.02
22.064	4.746	7183	1.254	seq_13579_133	0.008
23.743	4.94	7191	1.318	seq_13579_132	0.019
19.631	4.468	7172	1.138	seq_13579_134	0.007
21.706	4.689	7167	1.153	seq_13579_135	0.022
19.922	4.389	7149	1.126	seq_13579_136	0.011
22.005	4.709	7124	1.234	seq_13579_137	0.009
19.703	4.485	7097	1.14	seq_13579_138	0.006
18.407	3.962	7079	1.174	seq_13579_140	0.007
22.306	4.756	7094	1.274	seq_13579_139	0.016
22.521	4.814	7078	1.275	seq_13579_141	0.015
22.599	4.822	7077	1.268	seq_13579_142	0.014
22.551	4.805	7073	1.262	seq_13579_143	0.014
18.979	4.238	7072	1.123	seq_13579_144	0.017
21.902	4.704	7071	1.202	seq_13579_145	0.021
22.027	4.722	7041	1.25	seq_13579_146	0.009
21.809	4.732	7034	1.258	seq_13579_147	0.012
22.43	4.795	7028	1.268	seq_13579_148	0.013
22.099	4.782	7022	1.244	seq_13579_149	0.012
22.427	4.79	7019	1.264	seq_13579_150	0.013
19.831	4.335	7018	1.194	seq_13579_151	0.01
22.014	4.737	6998	1.243	seq_13579_152	0.007
22.725	4.788	6993	1.322	seq_13579_153	0.053
23.741	5.046	6991	1.314	seq_13579_154	0.018
21.395	4.594	6983	1.186	seq_13579_155	0.026
22.493	4.784	6975	1.276	seq_13579_156	0.017
21.765	4.732	6966	1.286	seq_13579_157	0.008
22.156	4.768	6932	1.259	seq_13579_158	0.009
22.687	4.844	6931	1.28	seq_13579_159	0.012
22.411	4.776	6929	1.27	seq_13579_160	0.013
22.201	4.759	6921	1.254	seq_13579_161	0.01
22.432	4.787	6920	1.271	seq_13579_162	0.012
21.851	4.58	6893	1.291	seq_13579_164	0.014
22.404	4.785	6918	1.275	seq_13579_163	0.014
23.056	4.861	6881	1.344	seq_13579_165	0.059
22.711	4.852	6862	1.283	seq_13579_166	0.013
22.222	4.736	6846	1.261	seq_13579_167	0.013
22.678	4.861	6845	1.281	seq_13579_168	0.011
20.715	4.524	6822	1.152	seq_13579_170	0.02
24.737	5.177	6835	1.323	seq_13579_169	0.025
22.132	4.724	6817	1.257	seq_13579_171	0.013
23.589	4.868	6785	1.311	seq_13579_172	0.02
22.903	4.885	6782	1.314	seq_13579_173	0.014
22.712	4.811	6781	1.289	seq_13579_174	0.011
19.862	4.373	6779	1.146	seq_13579_175	0.002
20.941	4.493	6765	1.185	seq_13579_176	0.02
18.243	3.948	6746	1.159	seq_13579_178	0.008
19.643	4.385	6709	1.192	seq_13579_180	0.003
20.947	4.601	6745	1.25	seq_13579_179	0.011
22.278	4.772	6749	1.255	seq_13579_177	0.011
22.016	4.754	6707	1.365	seq_13579_181	0.014
19.917	4.381	6683	1.148	seq_13579_182	0.003
23.093	4.831	6661	1.339	seq_13579_183	0.061
22.499	4.827	6583	1.22	seq_13579_191	0.013
22.305	4.738	6610	1.254	seq_13579_184	0.016
22.052	4.73	6603	1.246	seq_13579_187	0.007
22.426	4.801	6603	1.266	seq_13579_186	0.012
22.242	4.767	6600	1.253	seq_13579_189	0.011
22.012	4.732	6606	1.248	seq_13579_185	0.008
22.241	4.77	6600	1.256	seq_13579_190	0.01
22.033	4.752	6601	1.24	seq_13579_188	0.008
23.859	5.012	6578	1.313	seq_13579_192	0.02
20.652	4.539	6572	1.202	seq_13579_193	0.005
23.832	4.952	6563	1.33	seq_13579_194	0.022
22.39	4.714	6538	1.286	seq_13579_195	0.024
24.02	5.16	6501	1.281	seq_13579_196	0.011
22.118	4.788	6484	1.262	seq_13579_198	0.025
22.087	4.747	6483	1.246	seq_13579_197	0.006
22.057	4.744	6483	1.246	seq_13579_199	0.006
22.02	4.71	6483	1.3	seq_13579_200	0.029
23.752	4.979	6436	1.338	seq_13579_201	0.044
22.306	4.806	6395	1.251	seq_13579_208	0.005
22.943	4.901	6432	1.242	seq_13579_202	0.011
22.065	4.757	6429	1.242	seq_13579_203	0.005
23.554	4.851	6415	1.329	seq_13579_204	0.078
24.371	5.105	6406	1.317	seq_13579_205	0.01
23.293	4.978	6404	1.347	seq_13579_206	0.032
21.78	4.749	6403	1.369	seq_13579_207	0.024
22.18	4.746	6392	1.243	seq_13579_209	0.007
22.105	4.657	6385	1.284	seq_13579_211	0.015
21.879	4.806	6379	1.258	seq_13579_212	0.004
22.231	4.77	6387	1.238	seq_13579_210	0.008
22.195	4.762	6378	1.246	seq_13579_213	0.009
22.036	4.737	6376	1.241	seq_13579_214	0.007
18.474	4.219	6369	1.101	seq_13579_216	0.002
22.822	4.802	6373	1.34	seq_13579_215	0.022
22.408	4.853	6366	1.364	seq_13579_217	0.025
22.401	4.722	6355	1.288	seq_13579_218	0.024
21.762	4.658	6347	1.248	seq_13579_219	0.011
22.189	4.769	6311	1.253	seq_13579_220	0.008
21.493	4.762	6300	1.283	seq_13579_222	0.0
22.951	4.871	6300	1.301	seq_13579_221	0.015
21.854	4.681	6288	1.328	seq_13579_223	0.026
21.368	4.569	6283	1.3	seq_13579_224	0.019
20.262	4.515	6275	1.172	seq_13579_225	0.018
22.529	4.761	6272	1.327	seq_13579_226	0.052
22.418	4.812	6269	1.28	seq_13579_227	0.012
22.339	4.853	6242	1.391	seq_13579_229	0.019
22.503	4.819	6248	1.279	seq_13579_228	0.013
22.328	4.707	6240	1.285	seq_13579_230	0.025
22.625	4.835	6236	1.291	seq_13579_231	0.011
22.666	4.841	6236	1.292	seq_13579_232	0.012
20.355	4.57	6228	1.198	seq_13579_233	0.007
21.522	4.549	6219	1.265	seq_13579_234	0.011
22.656	4.728	6216	1.247	seq_13579_235	0.012
22.203	4.777	6213	1.258	seq_13579_236	0.01
20.055	4.515	6211	1.146	seq_13579_237	0.003
22.283	4.784	6198	1.253	seq_13579_238	0.011
23.731	4.906	6189	1.314	seq_13579_239	0.027
22.143	4.752	6180	1.237	seq_13579_240	0.007
22.154	4.747	6171	1.246	seq_13579_241	0.006
22.264	4.783	6167	1.246	seq_13579_242	0.006
20.824	4.621	6157	1.268	seq_13579_243	0.007
22.623	4.737	6151	1.298	seq_13579_244	0.022
23.51	4.89	6139	1.294	seq_13579_245	0.009
22.307	4.634	6135	1.281	seq_13579_246	0.076
21.192	4.652	6110	1.186	seq_13579_249	0.006
22.318	4.745	6116	1.175	seq_13579_248	0.068
22.041	4.738	6115	1.232	seq_13579_247	0.008
22.207	4.816	6104	1.399	seq_13579_250	0.023
19.007	4.322	6102	1.12	seq_13579_251	0.003
19.726	4.335	6101	1.247	seq_13579_252	0.011
20.979	4.498	6093	1.233	seq_13579_253	0.014
24.469	5.077	6090	1.341	seq_13579_254	0.052
22.732	4.957	6085	1.357	seq_13579_255	0.013
19.71	4.335	6077	1.168	seq_13579_257	0.005
22.513	4.812	6080	1.27	seq_13579_256	0.013
22.314	4.789	6076	1.252	seq_13579_258	0.009
21.735	4.74	6076	1.273	seq_13579_259	0.01
22.547	4.747	6074	1.339	seq_13579_260	0.024
22.452	4.725	6068	1.293	seq_13579_261	0.026
22.023	4.827	6063	1.362	seq_13579_262	0.027
20.881	4.55	6058	1.208	seq_13579_263	0.009
17.504	3.947	6021	1.124	seq_13579_265	0.001
22.68	4.758	6017	1.333	seq_13579_266	0.025
23.749	4.997	6050	1.317	seq_13579_264	0.018
23.088	4.799	6018	1.288	seq_13579_267	0.074
20.884	4.569	6011	1.226	seq_13579_268	0.009
20.561	4.562	6007	1.261	seq_13579_269	0.005
21.865	4.676	6004	1.231	seq_13579_270	0.01
19.893	4.267	6000	1.142	seq_13579_271	0.038
20.586	4.591	5974	1.172	seq_13579_273	0.006
22.247	4.741	5956	1.266	seq_13579_276	0.015
25.812	5.339	5959	1.35	seq_13579_275	0.02
19.441	4.314	5954	1.242	seq_13579_277	0.009
21.438	4.625	5985	1.18	seq_13579_272	0.026
22.464	4.725	5944	1.29	seq_13579_278	0.022
23.442	5.001	5966	1.35	seq_13579_274	0.027
21.62	4.703	5941	1.386	seq_13579_279	0.024
21.548	4.68	5931	1.182	seq_13579_280	0.021
22.52	4.727	5930	1.334	seq_13579_281	0.027
20.331	4.431	5928	1.235	seq_13579_282	0.009
23.809	4.943	5924	1.347	seq_13579_283	0.066
21.925	4.651	5921	1.258	seq_13579_285	0.034
21.894	4.766	5923	1.21	seq_13579_284	0.009
22.625	4.844	5910	1.392	seq_13579_286	0.035
22.099	4.686	5909	1.251	seq_13579_287	0.017
20.751	4.534	5878	1.236	seq_13579_290	0.007
22.124	4.755	5907	1.239	seq_13579_288	0.007
22.319	4.752	5887	1.255	seq_13579_289	0.014
21.762	4.733	5864	1.359	seq_13579_292	0.038
22.713	4.867	5877	1.393	seq_13579_291	0.036
23.264	4.975	5845	1.391	seq_13579_293	0.03
20.632	4.499	5844	1.206	seq_13579_294	0.009
22.714	4.828	5844	1.268	seq_13579_295	0.016
18.923	4.083	5840	1.14	seq_13579_296	0.008
19.841	4.41	5830	1.283	seq_13579_297	0.011
22.283	4.685	5821	1.32	seq_13579_299	0.024
22.107	4.76	5828	1.326	seq_13579_298	0.018
25.295	5.315	5817	1.374	seq_13579_300	0.021
21.19	4.592	5809	1.227	seq_13579_301	0.006
22.099	4.838	5808	1.384	seq_13579_302	0.016
24.783	5.132	5805	1.324	seq_13579_303	0.013
22.595	4.832	5805	1.269	seq_13579_304	0.011
23.72	5.055	5791	1.376	seq_13579_305	0.032
19.896	4.453	5787	1.13	seq_13579_306	0.002
22.197	4.704	5785	1.256	seq_13579_307	0.019
22.094	4.727	5782	1.212	seq_13579_308	0.027
21.385	4.605	5781	1.375	seq_13579_309	0.011
22.314	4.711	5770	1.292	seq_13579_310	0.014
22.554	4.8	5764	1.276	seq_13579_311	0.015
21.62	4.749	5759	1.259	seq_13579_312	0.009
19.559	4.392	5751	1.152	seq_13579_313	0.008
23.728	4.934	5750	1.338	seq_13579_314	0.066
22.465	4.799	5744	1.347	seq_13579_316	0.026
22.771	4.865	5750	1.292	seq_13579_315	0.015
18.47	4.213	5742	1.1	seq_13579_317	0.002
22.619	4.758	5741	1.269	seq_13579_318	0.017
23.213	4.967	5729	1.356	seq_13579_319	0.031
21.874	4.687	5729	1.328	seq_13579_320	0.03
23.859	5.089	5711	1.377	seq_13579_321	0.022
22.537	4.889	5704	1.4	seq_13579_322	0.019
19.903	4.478	5696	1.193	seq_13579_324	0.006
22.837	4.931	5699	1.382	seq_13579_323	0.023
22.373	4.707	5679	1.33	seq_13579_327	0.024
22.226	4.753	5694	1.386	seq_13579_325	0.033
18.5	4.219	5692	1.1	seq_13579_326	0.002
23.358	4.971	5676	1.363	seq_13579_328	0.036
22.152	4.755	5675	1.254	seq_13579_329	0.008
21.384	4.612	5671	1.174	seq_13579_330	0.018
21.487	4.62	5669	1.155	seq_13579_331	0.028
23.976	5.105	5661	1.35	seq_13579_332	0.027
24.137	4.981	5643	1.355	seq_13579_333	0.025
21.42	4.662	5632	1.174	seq_13579_338	0.019
22.783	4.855	5636	1.289	seq_13579_336	0.016
22.922	4.868	5643	1.276	seq_13579_334	0.016
19.787	4.354	5627	1.165	seq_13579_339	0.009
22.608	4.764	5635	1.338	seq_13579_337	0.022
24.066	5.035	5638	1.343	seq_13579_335	0.06
21.964	4.584	5625	1.211	seq_13579_340	0.024
20.528	4.522	5597	1.217	seq_13579_342	0.012
25.401	5.339	5601	1.361	seq_13579_341	0.019
21.834	4.704	5594	1.204	seq_13579_343	0.022
24.577	5.152	5586	1.349	seq_13579_345	0.027
22.141	4.742	5586	1.243	seq_13579_346	0.009
22.889	4.806	5576	1.35	seq_13579_348	0.023
21.427	4.53	5587	1.282	seq_13579_344	0.016
20.268	4.492	5580	1.214	seq_13579_347	0.008
17.937	3.849	5573	1.162	seq_13579_349	0.007
21.1	4.608	5570	1.226	seq_13579_350	0.007
22.528	4.748	5569	1.328	seq_13579_351	0.022
21.931	4.69	5569	1.233	seq_13579_352	0.014
23.032	4.937	5556	1.357	seq_13579_357	0.028
22.884	4.917	5568	1.371	seq_13579_353	0.023
22.381	4.739	5567	1.27	seq_13579_354	0.01
21.776	4.732	5564	1.326	seq_13579_355	0.019
19.915	4.409	5561	1.199	seq_13579_356	0.002
22.55	4.695	5550	1.349	seq_13579_358	0.042
22.257	4.742	5544	1.263	seq_13579_361	0.017
17.286	3.94	5550	1.104	seq_13579_359	0.004
22.466	4.778	5549	1.272	seq_13579_360	0.016
21.12	4.614	5531	1.22	seq_13579_362	0.006
21.239	4.63	5526	1.196	seq_13579_363	0.02
22.295	4.679	5521	1.333	seq_13579_364	0.025
20.64	4.536	5520	1.239	seq_13579_365	0.01
23.071	4.912	5511	1.393	seq_13579_367	0.038
22.045	4.673	5516	1.268	seq_13579_366	0.018
20.281	4.443	5502	1.178	seq_13579_368	0.008
20.255	4.442	5502	1.177	seq_13579_369	0.007
23.167	4.957	5494	1.347	seq_13579_370	0.03
23.741	5.062	5493	1.319	seq_13579_371	0.017
22.479	4.728	5486	1.332	seq_13579_374	0.025
23.261	4.979	5489	1.388	seq_13579_372	0.027
22.678	4.772	5489	1.242	seq_13579_373	0.029
22.713	4.788	5485	1.337	seq_13579_375	0.02
21.366	4.688	5479	1.247	seq_13579_376	0.02
22.129	4.71	5453	1.276	seq_13579_380	0.021
20.618	4.475	5477	1.183	seq_13579_377	0.006
22.453	4.819	5467	1.411	seq_13579_378	0.021
22.608	4.772	5456	1.262	seq_13579_379	0.013
22.269	4.751	5450	1.266	seq_13579_381	0.017
22.727	4.838	5445	1.279	seq_13579_382	0.013
22.792	4.846	5428	1.337	seq_13579_385	0.02
23.047	4.986	5444	1.338	seq_13579_383	0.023
20.227	4.414	5442	1.135	seq_13579_384	0.003
21.683	4.665	5412	1.239	seq_13579_386	0.022
20.853	4.55	5399	1.163	seq_13579_388	0.01
22.514	4.8	5404	1.265	seq_13579_387	0.013
21.716	4.698	5397	1.333	seq_13579_389	0.022
23.045	4.74	5373	1.253	seq_13579_390	0.082
19.681	4.479	5372	1.144	seq_13579_391	0.006
22.192	4.643	5364	1.206	seq_13579_392	0.068
21.396	4.615	5361	1.187	seq_13579_393	0.013
22.143	4.752	5359	1.244	seq_13579_394	0.007
22.064	4.738	5360	1.245	seq_13579_395	0.009
22.078	4.726	5356	1.252	seq_13579_396	0.007
22.773	4.714	5335	1.256	seq_13579_399	0.026
21.92	4.664	5347	1.163	seq_13579_397	0.074
22.336	4.786	5343	1.25	seq_13579_398	0.007
22.472	4.78	5318	1.271	seq_13579_400	0.019
22.242	4.72	5297	1.334	seq_13579_405	0.059
23.304	5.028	5316	1.346	seq_13579_401	0.023
24.215	4.996	5315	1.309	seq_13579_402	0.03
19.538	4.329	5307	1.138	seq_13579_404	0.009
19.516	4.39	5310	1.252	seq_13579_403	0.008
20.451	4.45	5296	1.178	seq_13579_406	0.008
22.649	4.786	5291	1.35	seq_13579_407	0.04
23.635	5.048	5290	1.303	seq_13579_409	0.006
22.204	4.58	5291	1.241	seq_13579_408	0.026
22.189	4.837	5283	1.373	seq_13579_411	0.03
21.739	4.672	5267	1.185	seq_13579_412	0.02
22.259	4.74	5290	1.252	seq_13579_410	0.008
23.553	5.013	5265	1.311	seq_13579_413	0.009
21.056	4.625	5261	1.228	seq_13579_416	0.006
21.547	4.576	5263	1.263	seq_13579_414	0.013
23.614	5.023	5261	1.314	seq_13579_415	0.01
23.636	5.019	5260	1.297	seq_13579_417	0.008
22.968	4.985	5260	1.25	seq_13579_418	0.016
21.988	4.797	5258	1.374	seq_13579_419	0.014
20.835	4.527	5255	1.315	seq_13579_421	0.018
22.077	4.76	5257	1.252	seq_13579_420	0.012
23.451	5.002	5249	1.296	seq_13579_422	0.006
22.547	4.649	5224	1.259	seq_13579_430	0.035
21.385	4.642	5242	1.225	seq_13579_425	0.009
23.663	5.049	5247	1.309	seq_13579_423	0.006
22.991	4.834	5241	1.331	seq_13579_426	0.019
22.415	4.831	5236	1.373	seq_13579_428	0.012
22.005	4.756	5243	1.303	seq_13579_424	0.012
19.04	4.209	5225	1.121	seq_13579_429	0.001
22.642	4.809	5236	1.272	seq_13579_427	0.011
21.664	4.677	5212	1.247	seq_13579_431	0.011
22.165	4.762	5209	1.257	seq_13579_432	0.007
20.785	4.532	5203	1.238	seq_13579_434	0.007
23.504	5.061	5202	1.364	seq_13579_435	0.023
23.215	5.0	5198	1.346	seq_13579_437	0.029
22.055	4.688	5204	1.212	seq_13579_433	0.037
22.714	4.864	5198	1.283	seq_13579_438	0.013
19.957	4.426	5201	1.312	seq_13579_436	0.012
22.443	4.779	5195	1.254	seq_13579_439	0.011
24.72	5.159	5192	1.346	seq_13579_440	0.028
23.636	5.024	5186	1.296	seq_13579_441	0.008
20.783	4.598	5185	1.36	seq_13579_443	0.011
23.159	5.009	5186	1.333	seq_13579_442	0.024
22.491	4.808	5184	1.263	seq_13579_445	0.01
23.626	5.01	5184	1.288	seq_13579_444	0.011
22.464	4.769	5181	1.301	seq_13579_446	0.012
22.443	4.769	5178	1.272	seq_13579_447	0.011
22.577	4.81	5177	1.268	seq_13579_448	0.011
23.677	4.918	5171	1.25	seq_13579_450	0.051
23.673	5.039	5173	1.31	seq_13579_449	0.01
20.818	4.534	5166	1.232	seq_13579_455	0.007
19.721	4.382	5171	1.154	seq_13579_451	0.005
23.506	5.016	5170	1.291	seq_13579_452	0.007
23.756	5.067	5168	1.311	seq_13579_453	0.007
23.642	4.865	5164	1.308	seq_13579_457	0.021
22.505	4.729	5163	1.294	seq_13579_456	0.025
23.719	5.036	5163	1.308	seq_13579_458	0.009
22.373	4.79	5167	1.261	seq_13579_454	0.009
21.682	4.722	5163	1.359	seq_13579_459	0.018
23.482	5.016	5158	1.298	seq_13579_460	0.007
21.018	4.573	5157	1.331	seq_13579_461	0.019
21.433	4.62	5156	1.298	seq_13579_462	0.043
23.468	4.917	5155	1.265	seq_13579_463	0.049
21.281	4.531	5145	1.245	seq_13579_467	0.04
23.864	5.097	5153	1.376	seq_13579_464	0.026
23.613	5.038	5149	1.312	seq_13579_465	0.008
23.07	5.008	5145	1.328	seq_13579_466	0.024
21.758	4.731	5142	1.364	seq_13579_468	0.033
22.457	4.87	5134	1.362	seq_13579_472	0.028
20.945	4.527	5141	1.184	seq_13579_469	0.018
22.637	4.806	5137	1.261	seq_13579_471	0.013
22.373	4.786	5134	1.263	seq_13579_473	0.009
22.987	4.813	5123	1.355	seq_13579_474	0.025
22.27	4.86	5139	1.385	seq_13579_470	0.031
20.235	4.544	5123	1.166	seq_13579_475	0.004
22.941	4.839	5122	1.319	seq_13579_477	0.016
22.434	4.692	5123	1.321	seq_13579_476	0.026
23.381	4.945	5121	1.305	seq_13579_478	0.023
23.516	4.823	5119	1.253	seq_13579_479	0.076
23.084	4.995	5118	1.329	seq_13579_480	0.021
23.594	5.041	5117	1.307	seq_13579_481	0.005
23.329	4.968	5112	1.407	seq_13579_484	0.037
21.499	4.723	5115	1.389	seq_13579_482	0.029
23.713	4.972	5113	1.383	seq_13579_483	0.046
22.487	4.925	5107	1.363	seq_13579_485	0.019
23.976	4.999	5102	1.279	seq_13579_486	0.03
22.531	4.904	5087	1.357	seq_13579_490	0.023
20.66	4.574	5098	1.179	seq_13579_487	0.008
22.751	4.789	5096	1.296	seq_13579_488	0.014
22.524	4.777	5093	1.276	seq_13579_489	0.009
22.445	4.771	5086	1.258	seq_13579_491	0.012
21.853	4.656	5075	1.29	seq_13579_495	0.017
19.022	4.269	5082	1.111	seq_13579_493	0.006
22.405	4.713	5077	1.379	seq_13579_494	0.045
23.951	4.91	5084	1.312	seq_13579_492	0.019
22.845	4.789	5072	1.303	seq_13579_496	0.042
22.188	4.815	5071	1.409	seq_13579_497	0.017
22.64	4.805	5068	1.263	seq_13579_498	0.014
23.935	5.018	5065	1.38	seq_13579_500	0.049
22.014	4.715	5068	1.248	seq_13579_499	0.009
21.834	4.617	5066	1.211	seq_13579_501	0.035
20.6	4.634	5065	1.273	seq_13579_502	0.002
22.303	4.85	5064	1.399	seq_13579_503	0.025
21.759	4.819	5061	1.389	seq_13579_504	0.025
22.444	4.715	5059	1.334	seq_13579_507	0.025
20.169	4.472	5059	1.131	seq_13579_505	0.004
22.553	4.804	5058	1.262	seq_13579_506	0.01
22.384	4.872	5053	1.36	seq_13579_509	0.027
23.607	5.022	5051	1.294	seq_13579_510	0.006
20.324	4.363	5057	1.163	seq_13579_508	0.035
21.876	4.704	5050	1.202	seq_13579_513	0.024
23.632	5.007	5050	1.309	seq_13579_512	0.008
23.657	5.017	5049	1.314	seq_13579_514	0.008
23.726	5.033	5051	1.314	seq_13579_511	0.009
22.658	4.75	5046	1.332	seq_13579_515	0.023
